	num_hpo_annotation	num_patient	num_disease
Entrez:4149	56	1	1.0
Entrez:5296	56	1	1.0
Entrez:57192	55	1	1.0
Entrez:79631	55	1	1.0
Entrez:2624	55	1	4.0
Entrez:5172	55	3	2.0
Entrez:6338	55	1	3.0
Entrez:8120	55	1	1.0
Entrez:72	55	2	1.0
Entrez:23118	55	1	1.0
Entrez:6017	55	1	3.0
Entrez:1674	55	4	3.0
Entrez:4983	55	5	1.0
Entrez:4534	55	3	1.0
Entrez:4644	55	1	1.0
Entrez:23503	55	2	1.0
Entrez:5048	54	1	1.0
Entrez:10056	54	4	1.0
Entrez:7532	54	1	1.0
Entrez:6690	54	1	2.0
Entrez:51062	54	5	2.0
Entrez:80224	54	1	1.0
Entrez:7343	54	2	1.0
Entrez:4633	54	4	1.0
Entrez:4358	54	1	2.0
Entrez:9568	54	1	2.0
Entrez:1678	54	1	1.0
Entrez:23334	54	4	1.0
Entrez:8139	54	1	1.0
Entrez:10978	54	1	1.0
Entrez:26999	54	2	1.0
Entrez:4570	54	1	1.0
Entrez:8831	54	11	1.0
Entrez:84627	54	1	1.0
Entrez:28982	54	1	1.0
Entrez:81570	54	3	1.0
Entrez:10382	54	3	2.0
Entrez:5076	53	1	2.0
Entrez:8506	53	4	2.0
Entrez:5071	53	3	3.0
Entrez:7136	53	1	1.0
Entrez:91949	53	1	1.0
Entrez:23247	53	1	1.0
Entrez:168667	53	1	1.0
Entrez:10274	52	1	1.0
Entrez:686	52	3	1.0
Entrez:4125	52	1	1.0
Entrez:8625	52	1	1.0
Entrez:23233	52	1	1.0
Entrez:2639	52	5	1.0
Entrez:64919	52	2	2.0
Entrez:65992	52	1	1.0
Entrez:6910	52	4	1.0
Entrez:7546	51	2	1.0
Entrez:3054	51	1	1.0
Entrez:81603	51	2	
Entrez:1200	51	8	2.0
Entrez:81794	51	1	1.0
Entrez:10371	51	1	1.0
Entrez:65055	51	2	2.0
Entrez:710	51	1	2.0
Entrez:9091	51	1	
Entrez:202018	50	1	1.0
Entrez:11005	50	1	1.0
Entrez:2911	50	1	2.0
Entrez:4921	50	2	1.0
Entrez:3988	50	1	1.0
Entrez:2690	50	2	4.0
Entrez:2542	50	1	2.0
Entrez:7276	50	4	2.0
Entrez:6710	50	2	1.0
Entrez:1789	49	1	1.0
Entrez:3745	49	5	1.0
Entrez:79587	49	1	1.0
Entrez:3752	49	2	2.0
Entrez:23534	49	1	1.0
Entrez:2583	49	1	1.0
Entrez:5096	49	1	1.0
Entrez:1741	49	3	1.0
Entrez:1106	49	2	1.0
Entrez:6509	48	1	1.0
Entrez:778	48	3	3.0
Entrez:3145	48	3	1.0
Entrez:51601	48	1	1.0
Entrez:6571	48	2	1.0
Entrez:1001	48	1	2.0
Entrez:11107	48	1	1.0
Entrez:1436	48	3	2.0
Entrez:55823	48	1	1.0
Entrez:8086	48	2	1.0
Entrez:1763	47	1	2.0
Entrez:2798	47	1	1.0
Entrez:1535	47	2	1.0
Entrez:57217	47	2	1.0
Entrez:4709	47	1	1.0
Entrez:7021	47	1	2.0
Entrez:1760	47	1	1.0
Entrez:2492	47	1	2.0
Entrez:2318	47	3	3.0
Entrez:84162	47	2	1.0
Entrez:5551	47	1	3.0
Entrez:253738	46	4	1.0
Entrez:10002	46	2	2.0
Entrez:191	46	1	1.0
Entrez:7552	46	2	1.0
Entrez:11152	46	6	1.0
Entrez:65018	46	1	1.0
Entrez:54872	46	7	1.0
Entrez:10320	46	2	1.0
Entrez:727857	46	1	2.0
Entrez:139411	46	1	1.0
Entrez:55863	46	1	1.0
Entrez:11330	46	1	1.0
Entrez:124512	46	1	1.0
Entrez:7140	46	1	1.0
Entrez:54809	46	1	2.0
Entrez:137682	46	1	1.0
Entrez:1778	46	12	3.0
Entrez:54919	46	1	1.0
Entrez:142680	45	1	1.0
Entrez:8558	45	1	1.0
Entrez:51305	45	2	1.0
Entrez:8425	45	1	1.0
Entrez:339829	45	1	1.0
Entrez:11200	45	30	4.0
Entrez:28976	45	1	1.0
Entrez:55033	45	1	1.0
Entrez:55163	45	1	1.0
Entrez:10749	45	2	1.0
Entrez:8942	45	2	2.0
Entrez:54714	45	6	2.0
Entrez:6606	45	3	4.0
Entrez:6697	45	1	1.0
Entrez:51574	45	1	1.0
Entrez:145226	44	1	1.0
Entrez:3192	44	2	1.0
Entrez:6942	44	12	1.0
Entrez:80781	44	3	1.0
Entrez:1806	44	1	1.0
Entrez:6683	44	30	1.0
Entrez:26235	44	1	1.0
Entrez:3674	44	3	2.0
Entrez:4208	44	4	1.0
Entrez:825	44	16	2.0
Entrez:3690	44	4	2.0
Entrez:9581	44	1	1.0
Entrez:38	44	1	1.0
Entrez:388389	43	1	1.0
Entrez:56172	43	1	2.0
Entrez:112939	43	2	1.0
Entrez:1654	43	15	1.0
Entrez:79087	43	1	1.0
Entrez:3423	43	8	1.0
Entrez:3507	43	1	1.0
Entrez:54768	43	1	1.0
Entrez:2782	43	12	2.0
Entrez:10195	43	1	1.0
Entrez:1906	43	1	2.0
Entrez:2902	43	2	2.0
Entrez:23090	42	1	1.0
Entrez:6608	42	1	2.0
Entrez:50846	42	3	2.0
Entrez:1892	42	2	1.0
Entrez:50939	42	2	2.0
Entrez:3508	41	6	2.0
Entrez:5251	41	1	1.0
Entrez:55129	41	4	1.0
Entrez:23512	41	1	
Entrez:80347	41	1	2.0
Entrez:411	41	2	1.0
Entrez:2294	41	1	1.0
Entrez:5949	41	1	2.0
Entrez:6866	41	2	1.0
Entrez:56776	41	1	1.0
Entrez:85478	41	1	1.0
Entrez:7915	41	1	1.0
Entrez:56997	40	3	1.0
Entrez:2147	40	1	4.0
Entrez:389856	40	1	1.0
Entrez:91179	40	1	1.0
Entrez:51185	40	1	1.0
Entrez:760	40	1	1.0
Entrez:6901	40	1	1.0
Entrez:3872	40	1	2.0
Entrez:29926	40	1	1.0
Entrez:284217	40	1	1.0
Entrez:23162	39	1	1.0
Entrez:1770	39	1	1.0
Entrez:10716	39	10	1.0
Entrez:51422	39	1	3.0
Entrez:56006	39	3	1.0
Entrez:6531	39	1	1.0
Entrez:1285	39	3	3.0
Entrez:2259	39	1	1.0
Entrez:477	38	1	2.0
Entrez:11011	38	2	1.0
Entrez:8701	38	1	1.0
Entrez:331	38	1	2.0
Entrez:3141	38	1	1.0
Entrez:3315	38	5	2.0
Entrez:51322	38	4	1.0
Entrez:92609	38	2	1.0
Entrez:5158	37	1	2.0
Entrez:9772	37	1	1.0
Entrez:26121	37	4	1.0
Entrez:100506658	37	2	1.0
Entrez:284403	37	3	1.0
Entrez:23203	37	1	1.0
Entrez:6575	37	2	1.0
Entrez:6125	37	2	1.0
Entrez:259266	37	17	1.0
Entrez:6231	37	1	1.0
Entrez:131377	37	1	1.0
Entrez:6777	37	3	1.0
Entrez:92211	37	3	1.0
Entrez:1767	37	1	1.0
Entrez:23474	37	1	1.0
Entrez:6399	36	1	1.0
Entrez:1859	36	7	1.0
Entrez:64087	36	1	1.0
Entrez:55750	36	1	2.0
Entrez:271	36	1	2.0
Entrez:412	36	3	1.0
Entrez:346007	36	6	1.0
Entrez:3868	36	1	2.0
Entrez:7991	36	1	1.0
Entrez:6911	36	1	1.0
Entrez:57498	36	4	1.0
Entrez:3188	36	1	1.0
Entrez:220296	36	1	3.0
Entrez:5256	36	1	1.0
Entrez:9719	36	1	1.0
Entrez:2055	36	1	2.0
Entrez:10907	36	4	1.0
Entrez:1308	35	1	2.0
Entrez:1259	35	2	2.0
Entrez:129880	35	1	1.0
Entrez:9657	35	2	1.0
Entrez:10472	35	1	1.0
Entrez:92579	35	2	1.0
Entrez:84879	35	1	1.0
Entrez:79944	35	2	1.0
Entrez:2625	35	2	1.0
Entrez:6584	35	1	1.0
Entrez:54840	35	1	1.0
Entrez:5340	34	1	1.0
Entrez:6101	34	5	1.0
Entrez:6102	34	5	1.0
Entrez:3190	34	7	1.0
Entrez:6909	34	1	1.0
Entrez:7450	34	3	3.0
Entrez:7275	34	1	1.0
Entrez:23327	34	1	1.0
Entrez:6440	34	1	2.0
Entrez:7274	34	1	1.0
Entrez:23141	34	1	1.0
Entrez:1108	34	2	1.0
Entrez:823	34	2	1.0
Entrez:80204	34	5	1.0
Entrez:3949	34	4	1.0
Entrez:65217	33	1	3.0
Entrez:28514	33	1	
Entrez:3560	33	1	1.0
Entrez:79738	33	3	1.0
Entrez:5314	33	5	1.0
Entrez:5145	33	2	1.0
Entrez:5582	33	2	1.0
Entrez:2334	33	1	1.0
Entrez:5873	33	1	1.0
Entrez:3098	33	1	3.0
Entrez:2157	33	3	1.0
Entrez:154881	33	1	1.0
Entrez:55023	33	14	1.0
Entrez:148738	32	1	1.0
Entrez:27130	32	1	1.0
Entrez:166379	32	2	1.0
Entrez:10461	32	1	1.0
Entrez:23568	32	1	1.0
Entrez:10577	32	2	1.0
Entrez:339855	32	1	1.0
Entrez:8493	32	1	2.0
Entrez:2904	32	10	2.0
Entrez:5627	32	1	2.0
Entrez:1457	32	2	1.0
Entrez:49855	32	3	1.0
Entrez:92482	32	1	1.0
Entrez:56052	31	1	1.0
Entrez:4669	31	4	2.0
Entrez:7026	31	1	1.0
Entrez:2159	31	1	1.0
Entrez:375298	31	3	1.0
Entrez:55212	31	2	1.0
Entrez:3786	31	3	1.0
Entrez:3757	31	5	2.0
Entrez:6938	31	1	1.0
Entrez:4607	31	13	2.0
Entrez:84140	31	1	1.0
Entrez:215	31	12	1.0
Entrez:5624	31	5	2.0
Entrez:871	31	1	2.0
Entrez:9128	31	1	1.0
Entrez:163175	31	1	1.0
Entrez:2815	31	2	1.0
Entrez:5995	31	1	1.0
Entrez:2895	30	1	1.0
Entrez:7167	30	1	1.0
Entrez:23135	30	1	1.0
Entrez:8621	30	5	1.0
Entrez:26276	30	1	1.0
Entrez:91137	30	2	1.0
Entrez:123606	30	2	1.0
Entrez:7862	30	1	1.0
Entrez:7156	30	1	2.0
Entrez:55773	30	1	1.0
Entrez:54902	30	1	1.0
Entrez:111	30	1	1.0
Entrez:79912	30	1	1.0
Entrez:4864	30	5	1.0
Entrez:4627	29	1	2.0
Entrez:5538	29	5	1.0
Entrez:5352	29	1	1.0
Entrez:54658	29	1	3.0
Entrez:79628	29	1	2.0
Entrez:23241	29	1	1.0
Entrez:8050	29	1	1.0
Entrez:372	29	1	1.0
Entrez:84231	29	2	1.0
Entrez:2243	29	3	2.0
Entrez:84947	29	5	1.0
Entrez:8893	29	3	1.0
Entrez:8890	29	1	1.0
Entrez:2978	29	2	1.0
Entrez:8892	29	1	1.0
Entrez:5313	28	1	2.0
Entrez:4081	28	1	1.0
Entrez:440	28	3	1.0
Entrez:488	28	2	2.0
Entrez:166785	28	1	1.0
Entrez:5216	28	1	1.0
Entrez:22907	28	4	1.0
Entrez:492	28	1	1.0
Entrez:343641	28	1	1.0
Entrez:9419	28	1	1.0
Entrez:51008	28	1	2.0
Entrez:10049	28	1	1.0
Entrez:149461	28	1	1.0
Entrez:51010	28	4	1.0
Entrez:23133	28	1	1.0
Entrez:10000	28	1	1.0
Entrez:1747	28	3	2.0
Entrez:55325	28	1	2.0
Entrez:79641	28	1	1.0
Entrez:4281	27	1	1.0
Entrez:7010	27	1	3.0
Entrez:2581	27	5	1.0
Entrez:889	27	2	1.0
Entrez:54344	27	1	1.0
Entrez:2538	27	3	1.0
Entrez:5173	27	1	1.0
Entrez:10686	27	1	1.0
Entrez:50801	27	1	1.0
Entrez:3778	27	2	2.0
Entrez:50	27	1	2.0
Entrez:55252	27	3	1.0
Entrez:132	27	1	1.0
Entrez:178	27	1	1.0
Entrez:57038	27	2	1.0
Entrez:6442	27	4	1.0
Entrez:22978	27	1	1.0
Entrez:124454	27	1	1.0
Entrez:668	27	2	2.0
Entrez:1644	26	2	1.0
Entrez:6529	26	1	1.0
Entrez:22926	26	2	1.0
Entrez:54982	26	3	2.0
Entrez:80821	26	1	1.0
Entrez:23221	26	4	1.0
Entrez:4868	26	1	1.0
Entrez:6884	26	2	1.0
Entrez:1181	26	4	3.0
Entrez:501	26	3	1.0
Entrez:8560	26	1	1.0
Entrez:57582	26	1	2.0
Entrez:57505	26	2	2.0
Entrez:3920	26	2	1.0
Entrez:93986	26	2	1.0
Entrez:894	26	1	1.0
Entrez:9289	26	1	2.0
Entrez:326625	26	1	1.0
Entrez:51371	25	1	2.0
Entrez:54916	25	2	1.0
Entrez:5498	25	3	1.0
Entrez:1828	25	2	2.0
Entrez:7137	25	2	4.0
Entrez:861	25	2	2.0
Entrez:7369	25	1	3.0
Entrez:745	25	1	2.0
Entrez:3074	25	2	1.0
Entrez:55755	25	1	1.0
Entrez:5009	25	1	1.0
Entrez:8647	24	2	2.0
Entrez:9152	24	1	1.0
Entrez:5146	24	1	1.0
Entrez:83552	24	1	2.0
Entrez:4654	24	1	
Entrez:10021	24	1	2.0
Entrez:7443	24	2	1.0
Entrez:1476	24	2	1.0
Entrez:26090	24	3	1.0
Entrez:6514	24	1	2.0
Entrez:63894	24	1	1.0
Entrez:256471	24	1	2.0
Entrez:167691	24	1	1.0
Entrez:6201	24	1	1.0
Entrez:83605	23	1	1.0
Entrez:4935	23	2	2.0
Entrez:375	23	1	1.0
Entrez:1261	23	3	1.0
Entrez:4942	23	1	1.0
Entrez:9320	23	6	1.0
Entrez:84700	23	1	1.0
Entrez:79648	23	2	1.0
Entrez:84572	23	1	1.0
Entrez:5058	23	1	1.0
Entrez:4948	23	2	1.0
Entrez:1180	23	7	2.0
Entrez:1287	23	6	1.0
Entrez:8777	23	1	1.0
Entrez:3931	23	2	2.0
Entrez:23258	23	1	1.0
Entrez:1641	23	3	1.0
Entrez:5476	23	1	1.0
Entrez:8443	23	1	1.0
Entrez:9427	22	1	1.0
Entrez:2548	22	1	1.0
Entrez:11235	22	1	1.0
Entrez:387733	22	1	1.0
Entrez:6491	22	1	1.0
Entrez:6448	22	3	1.0
Entrez:54938	22	1	1.0
Entrez:4604	22	2	2.0
Entrez:8912	22	1	1.0
Entrez:6709	22	1	1.0
Entrez:8106	22	3	1.0
Entrez:146206	22	1	1.0
Entrez:462	22	3	1.0
Entrez:3097	22	1	1.0
Entrez:25953	22	1	1.0
Entrez:54870	22	1	1.0
Entrez:212	22	1	2.0
Entrez:60495	21	4	1.0
Entrez:21	21	2	1.0
Entrez:6418	21	1	1.0
Entrez:5236	21	1	1.0
Entrez:8910	21	1	1.0
Entrez:90678	21	2	1.0
Entrez:2155	21	2	1.0
Entrez:51761	21	1	1.0
Entrez:7134	21	1	2.0
Entrez:23498	21	2	1.0
Entrez:1286	21	2	2.0
Entrez:64423	21	1	2.0
Entrez:23395	21	1	2.0
Entrez:4653	21	1	1.0
Entrez:5649	21	1	3.0
Entrez:55145	20	1	1.0
Entrez:51520	20	1	1.0
Entrez:26353	20	1	2.0
Entrez:64207	20	8	1.0
Entrez:288	20	1	1.0
Entrez:93589	20	1	1.0
Entrez:2731	20	1	1.0
Entrez:5813	20	10	1.0
Entrez:25821	20	1	1.0
Entrez:7173	20	1	1.0
Entrez:5959	20	1	1.0
Entrez:767	20	1	1.0
Entrez:58508	20	4	1.0
Entrez:818	20	1	1.0
Entrez:10681	20	1	2.0
Entrez:387787	20	1	1.0
Entrez:7139	19	3	3.0
Entrez:83452	19	1	1.0
Entrez:1591	19	1	1.0
Entrez:55714	19	1	1.0
Entrez:7471	19	1	1.0
Entrez:4913	19	1	1.0
Entrez:579	19	1	1.0
Entrez:6262	18	2	2.0
Entrez:54802	18	2	1.0
Entrez:81689	18	1	1.0
Entrez:121512	18	2	1.0
Entrez:53335	18	3	1.0
Entrez:5318	18	2	1.0
Entrez:513	18	1	1.0
Entrez:287	18	1	1.0
Entrez:11093	18	1	1.0
Entrez:4068	18	1	1.0
Entrez:9493	18	1	
Entrez:91851	18	1	2.0
Entrez:3704	18	1	1.0
Entrez:3712	18	1	1.0
Entrez:9757	18	2	1.0
Entrez:51091	17	2	1.0
Entrez:57731	17	1	1.0
Entrez:51102	17	1	1.0
Entrez:1956	17	1	2.0
Entrez:2266	17	3	1.0
Entrez:26504	17	1	1.0
Entrez:80331	17	1	1.0
Entrez:23229	17	1	1.0
Entrez:23171	17	1	1.0
Entrez:10370	17	1	2.0
Entrez:4620	17	2	1.0
Entrez:7068	17	1	3.0
Entrez:2244	17	3	1.0
Entrez:11146	17	2	1.0
Entrez:4645	17	1	1.0
Entrez:815	17	9	2.0
Entrez:7846	17	5	1.0
Entrez:79719	16	2	1.0
Entrez:161497	16	4	3.0
Entrez:3973	16	2	2.0
Entrez:5345	16	1	1.0
Entrez:2158	16	1	3.0
Entrez:284439	16	2	1.0
Entrez:5921	16	1	2.0
Entrez:63982	16	1	1.0
Entrez:4308	16	1	1.0
Entrez:3008	16	1	1.0
Entrez:120	16	1	1.0
Entrez:1829	16	2	2.0
Entrez:9254	16	1	1.0
Entrez:23432	16	1	
Entrez:6095	16	1	1.0
Entrez:4285	15	4	1.0
Entrez:4160	15	1	1.0
Entrez:29927	15	1	1.0
Entrez:25802	15	1	
Entrez:1729	15	1	2.0
Entrez:4131	15	1	
Entrez:7168	15	5	2.0
Entrez:3073	15	13	1.0
Entrez:1795	15	2	1.0
Entrez:2539	15	1	1.0
Entrez:85021	15	1	1.0
Entrez:1834	15	1	4.0
Entrez:537	15	1	1.0
Entrez:57010	15	2	1.0
Entrez:4576	15	1	1.0
Entrez:223117	15	1	
Entrez:415	15	1	1.0
Entrez:374393	14	1	1.0
Entrez:4781	14	1	1.0
Entrez:57680	14	8	1.0
Entrez:440435	14	1	1.0
Entrez:51294	14	1	1.0
Entrez:4128	14	1	1.0
Entrez:5293	14	1	1.0
Entrez:51117	14	2	1.0
Entrez:254065	13	2	1.0
Entrez:7056	13	2	2.0
Entrez:60506	13	3	1.0
Entrez:55800	13	2	1.0
Entrez:64857	13	1	1.0
Entrez:4634	13	1	1.0
Entrez:90993	13	1	1.0
Entrez:7306	13	2	1.0
Entrez:116519	13	1	2.0
Entrez:1837	13	1	1.0
Entrez:51086	13	1	1.0
Entrez:3689	13	1	1.0
Entrez:1121	13	6	1.0
Entrez:23236	13	1	1.0
Entrez:22983	13	1	1.0
Entrez:1384	12	2	1.0
Entrez:51271	12	1	1.0
Entrez:80311	12	1	1.0
Entrez:282996	12	1	1.0
Entrez:282809	12	1	1.0
Entrez:816	12	8	1.0
Entrez:8456	12	1	1.0
Entrez:5311	12	3	1.0
Entrez:2161	12	1	2.0
Entrez:2160	12	1	1.0
Entrez:3796	12	1	1.0
Entrez:7280	12	1	1.0
Entrez:10916	11	1	1.0
Entrez:2916	11	1	1.0
Entrez:2670	11	1	1.0
Entrez:1690	11	1	2.0
Entrez:6853	11	1	1.0
Entrez:23209	11	2	1.0
Entrez:55605	11	1	1.0
Entrez:580	11	1	1.0
Entrez:4595	11	2	3.0
Entrez:9517	11	1	1.0
Entrez:3617	11	1	1.0
Entrez:9364	11	1	1.0
Entrez:3857	11	1	1.0
Entrez:7701	11	4	1.0
Entrez:93183	11	1	1.0
Entrez:81693	10	1	1.0
Entrez:57176	10	1	1.0
Entrez:2120	10	1	2.0
Entrez:54084	10	1	2.0
Entrez:169522	10	2	1.0
Entrez:343450	10	1	1.0
Entrez:5880	10	1	1.0
Entrez:1284	10	1	1.0
Entrez:90167	9	1	1.0
Entrez:55811	9	1	1.0
Entrez:114902	9	1	1.0
Entrez:270	9	1	1.0
Entrez:6935	9	1	2.0
Entrez:201294	9	2	1.0
Entrez:5310	9	16	1.0
Entrez:23152	9	2	1.0
Entrez:56479	9	1	1.0
Entrez:6096	9	1	1.0
Entrez:6011	9	1	1.0
Entrez:10771	9	3	1.0
Entrez:10117	8	1	2.0
Entrez:9681	8	1	1.0
Entrez:26092	8	1	1.0
Entrez:51111	8	1	1.0
Entrez:168507	8	2	1.0
Entrez:10529	8	1	
Entrez:3746	8	1	1.0
Entrez:84071	8	1	1.0
Entrez:374462	7	1	2.0
Entrez:6813	7	1	1.0
Entrez:64805	7	2	1.0
Entrez:5083	7	2	1.0
Entrez:2984	7	1	2.0
Entrez:56155	7	1	1.0
Entrez:338328	7	1	1.0
Entrez:10841	7	1	1.0
Entrez:23189	7	1	1.0
Entrez:5375	7	1	1.0
Entrez:5892	7	1	
Entrez:23476	7	1	
Entrez:57094	7	1	2.0
Entrez:23554	6	1	1.0
Entrez:80155	6	4	1.0
Entrez:338917	6	2	2.0
Entrez:23040	6	1	1.0
Entrez:87	6	2	1.0
Entrez:2348	5	1	1.0
Entrez:342035	5	2	1.0
Entrez:10235	5	2	1.0
Entrez:220136	5	1	1.0
Entrez:347688	5	1	1.0
Entrez:79853	5	1	1.0
Entrez:54800	5	2	1.0
Entrez:6915	5	1	1.0
Entrez:144406	5	3	1.0
Entrez:57674	5	1	
Entrez:10734	5	3	1.0
Entrez:3982	4	1	1.0
Entrez:286676	4	1	1.0
Entrez:23676	4	1	1.0
Entrez:94137	4	2	1.0
Entrez:57609	4	1	1.0
Entrez:525	4	1	1.0
Entrez:5054	4	1	1.0
Entrez:8556	4	1	1.0
Entrez:7482	4	1	1.0
Entrez:9381	4	2	1.0
Entrez:2312	4	4	1.0
Entrez:1761	4	1	
Entrez:3053	4	1	1.0
Entrez:2202	4	2	1.0
Entrez:7007	4	1	2.0
Entrez:9622	4	1	1.0
Entrez:22852	3	1	1.0
Entrez:53904	3	1	1.0
Entrez:1495	3	1	1.0
Entrez:2036	3	1	1.0
Entrez:221496	3	1	1.0
Entrez:23438	3	1	1.0
Entrez:81027	3	2	1.0
Entrez:7277	3	1	1.0
Entrez:1288	3	1	1.0
Entrez:51168	2	2	1.0
Entrez:54205	2	1	1.0
Entrez:23288	2	2	1.0
